,sd
2390,"{'BACONEXPLOSION|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'UNITEDSTATES|LEADERNAME|PAULRYAN', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'UNITEDSTATES|ETHNICGROUP|WHITEAMERICANS'}"
2392,"{'BACONEXPLOSION|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'UNITEDSTATES|LEADERNAME|PAULRYAN', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'UNITEDSTATES|ETHNICGROUP|WHITEAMERICANS'}"
2430,{'103HERA|MASS|7.9(KILOGRAMS)'}
2432,{'103HERA|MASS|7.9(KILOGRAMS)'}
2578,"{'AMERICANSUBMARINENR-1|SHIPBEAM|3.8M', 'AMERICANSUBMARINENR-1|TOPSPEED|8.334', 'AMERICANSUBMARINENR-1|BUILDER|GENERALDYNAMICSELECTRICBOAT', 'AMERICANSUBMARINENR-1|SHIPLAUNCH|1969-01-25'}"
2580,"{'AMERICANSUBMARINENR-1|SHIPBEAM|3.8M', 'AMERICANSUBMARINENR-1|TOPSPEED|8.334', 'AMERICANSUBMARINENR-1|BUILDER|GENERALDYNAMICSELECTRICBOAT', 'AMERICANSUBMARINENR-1|SHIPLAUNCH|1969-01-25'}"
2582,"{'AMERICANSUBMARINENR-1|SHIPBEAM|3.8M', 'AMERICANSUBMARINENR-1|TOPSPEED|8.334', 'AMERICANSUBMARINENR-1|BUILDER|GENERALDYNAMICSELECTRICBOAT', 'AMERICANSUBMARINENR-1|SHIPLAUNCH|1969-01-25'}"
2602,"{'BINIGNIT|MAININGREDIENTS|SWEETPOTATO', 'SWEETPOTATO|ORDER|SOLANALES', 'BINIGNIT|INGREDIENT|BANANA'}"
2604,"{'BINIGNIT|MAININGREDIENTS|SWEETPOTATO', 'SWEETPOTATO|ORDER|SOLANALES', 'BINIGNIT|INGREDIENT|BANANA'}"
2606,"{'BINIGNIT|MAININGREDIENTS|SWEETPOTATO', 'SWEETPOTATO|ORDER|SOLANALES', 'BINIGNIT|INGREDIENT|BANANA'}"
2626,"{'ALBANY,OREGON|ISPARTOF|UNITEDSTATES'}"
2628,"{'ALBANY,OREGON|ISPARTOF|UNITEDSTATES'}"
2666,{'ROLANDOMARAN|CLUB|F.C.BARI1908'}
2668,{'ROLANDOMARAN|CLUB|F.C.BARI1908'}
2702,"{'ALAAABDUL-ZAHRA|CLUB|ALKHARAITIYATSC', 'ALKHARAITIYATSC|MANAGER|AMAROSIM'}"
2704,"{'ALAAABDUL-ZAHRA|CLUB|ALKHARAITIYATSC', 'ALKHARAITIYATSC|MANAGER|AMAROSIM'}"
2808,"{'INDIA|LEADERNAME|T.S.THAKUR', 'BHAJJI|COUNTRY|INDIA'}"
2810,"{'INDIA|LEADERNAME|T.S.THAKUR', 'BHAJJI|COUNTRY|INDIA'}"
2812,"{'INDIA|LEADERNAME|T.S.THAKUR', 'BHAJJI|COUNTRY|INDIA'}"
2896,"{'CLEVELAND|ISPARTOF|CUYAHOGACOUNTY,OHIO', 'CLEVELAND|LEADERNAME|FRANKG.JACKSON', '200PUBLICSQUARE|LOCATION|CLEVELAND'}"
2898,"{'CLEVELAND|ISPARTOF|CUYAHOGACOUNTY,OHIO', 'CLEVELAND|LEADERNAME|FRANKG.JACKSON', '200PUBLICSQUARE|LOCATION|CLEVELAND'}"
2900,"{'CLEVELAND|ISPARTOF|CUYAHOGACOUNTY,OHIO', 'CLEVELAND|LEADERNAME|FRANKG.JACKSON', '200PUBLICSQUARE|LOCATION|CLEVELAND'}"
2986,"{'ALCORS-3|LENGTH|17068.8(MILLIMETRES)', 'ALCORS-3|BUILDER|AMERICANLOCOMOTIVECOMPANY', 'AMERICANLOCOMOTIVECOMPANY|FOUNDATIONPLACE|SCHENECTADY,NEWYORK'}"
2988,"{'ALCORS-3|LENGTH|17068.8(MILLIMETRES)', 'ALCORS-3|BUILDER|AMERICANLOCOMOTIVECOMPANY', 'AMERICANLOCOMOTIVECOMPANY|FOUNDATIONPLACE|SCHENECTADY,NEWYORK'}"
2990,"{'ALCORS-3|LENGTH|17068.8(MILLIMETRES)', 'ALCORS-3|BUILDER|AMERICANLOCOMOTIVECOMPANY', 'AMERICANLOCOMOTIVECOMPANY|FOUNDATIONPLACE|SCHENECTADY,NEWYORK'}"
3024,"{'11264CLAUDIOMACCONE|APOAPSIS|475426000.0(KILOMETRES)', '11264CLAUDIOMACCONE|EPOCH|2005-11-26', '11264CLAUDIOMACCONE|TEMPERATURE|173.0(KELVINS)', '11264CLAUDIOMACCONE|PERIAPSIS|296521000.0(KILOMETRES)', '11264CLAUDIOMACCONE|ORBITALPERIOD|1513.722(DAYS)'}"
3026,"{'11264CLAUDIOMACCONE|APOAPSIS|475426000.0(KILOMETRES)', '11264CLAUDIOMACCONE|EPOCH|2005-11-26', '11264CLAUDIOMACCONE|TEMPERATURE|173.0(KELVINS)', '11264CLAUDIOMACCONE|PERIAPSIS|296521000.0(KILOMETRES)', '11264CLAUDIOMACCONE|ORBITALPERIOD|1513.722(DAYS)'}"
3028,"{'11264CLAUDIOMACCONE|APOAPSIS|475426000.0(KILOMETRES)', '11264CLAUDIOMACCONE|EPOCH|2005-11-26', '11264CLAUDIOMACCONE|TEMPERATURE|173.0(KELVINS)', '11264CLAUDIOMACCONE|PERIAPSIS|296521000.0(KILOMETRES)', '11264CLAUDIOMACCONE|ORBITALPERIOD|1513.722(DAYS)'}"
3086,{'11DIAGONALSTREET|LOCATION|SOUTHAFRICA'}
3088,{'11DIAGONALSTREET|LOCATION|SOUTHAFRICA'}
3090,{'GERMANY|LEADERNAME|NORBERTLAMMERT'}
3092,{'GERMANY|LEADERNAME|NORBERTLAMMERT'}
3094,{'GERMANY|LEADERNAME|NORBERTLAMMERT'}
3108,"{'TURKEY|LEADER|AHMETDAVUTOGLU', 'TURKEY|LEADERTITLE|PRESIDENTOFTURKEY', 'TURKEY|CAPITAL|ANKARA', 'ATATURKMONUMENT(IZMIR)|LOCATION|TURKEY', 'TURKEY|LARGESTCITY|ISTANBUL'}"
3110,"{'TURKEY|LEADER|AHMETDAVUTOGLU', 'TURKEY|LEADERTITLE|PRESIDENTOFTURKEY', 'TURKEY|CAPITAL|ANKARA', 'ATATURKMONUMENT(IZMIR)|LOCATION|TURKEY', 'TURKEY|LARGESTCITY|ISTANBUL'}"
3112,"{'TURKEY|LEADER|AHMETDAVUTOGLU', 'TURKEY|LEADERTITLE|PRESIDENTOFTURKEY', 'TURKEY|CAPITAL|ANKARA', 'ATATURKMONUMENT(IZMIR)|LOCATION|TURKEY', 'TURKEY|LARGESTCITY|ISTANBUL'}"
3134,"{'HIPHOPMUSIC|STYLISTICORIGIN|DISCO', 'HIPHOPMUSIC|STYLISTICORIGIN|FUNK', 'HIPHOPMUSIC|MUSICSUBGENRE|GANGSTARAP', 'ACEWILDER|GENRE|HIPHOPMUSIC', 'HIPHOPMUSIC|DERIVATIVE|DRUMANDBASS'}"
3136,"{'HIPHOPMUSIC|STYLISTICORIGIN|DISCO', 'HIPHOPMUSIC|STYLISTICORIGIN|FUNK', 'HIPHOPMUSIC|MUSICSUBGENRE|GANGSTARAP', 'ACEWILDER|GENRE|HIPHOPMUSIC', 'HIPHOPMUSIC|DERIVATIVE|DRUMANDBASS'}"
3138,"{'HIPHOPMUSIC|STYLISTICORIGIN|DISCO', 'HIPHOPMUSIC|STYLISTICORIGIN|FUNK', 'HIPHOPMUSIC|MUSICSUBGENRE|GANGSTARAP', 'ACEWILDER|GENRE|HIPHOPMUSIC', 'HIPHOPMUSIC|DERIVATIVE|DRUMANDBASS'}"
3140,"{'AMATRICIANASAUCE|COUNTRY|ITALY', 'AMATRICIANASAUCE|REGION|LAZIO', 'AMATRICIANASAUCE|INGREDIENT|GUANCIALE'}"
3142,"{'AMATRICIANASAUCE|COUNTRY|ITALY', 'AMATRICIANASAUCE|REGION|LAZIO', 'AMATRICIANASAUCE|INGREDIENT|GUANCIALE'}"
3144,"{'AMATRICIANASAUCE|COUNTRY|ITALY', 'AMATRICIANASAUCE|REGION|LAZIO', 'AMATRICIANASAUCE|INGREDIENT|GUANCIALE'}"
3236,"{'ALVISCARANDENGINEERINGCOMPANY|SUCCESSOR|ROVERCOMPANY', 'ALVISCARANDENGINEERINGCOMPANY|FOUNDATIONPLACE|COVENTRY', 'ALVISSPEED25|MANUFACTURER|ALVISCARANDENGINEERINGCOMPANY', 'ALVISSPEED25|ENGINE|PETROL'}"
3238,"{'ALVISCARANDENGINEERINGCOMPANY|SUCCESSOR|ROVERCOMPANY', 'ALVISCARANDENGINEERINGCOMPANY|FOUNDATIONPLACE|COVENTRY', 'ALVISSPEED25|MANUFACTURER|ALVISCARANDENGINEERINGCOMPANY', 'ALVISSPEED25|ENGINE|PETROL'}"
3240,"{'ALVISCARANDENGINEERINGCOMPANY|SUCCESSOR|ROVERCOMPANY', 'ALVISCARANDENGINEERINGCOMPANY|FOUNDATIONPLACE|COVENTRY', 'ALVISSPEED25|MANUFACTURER|ALVISCARANDENGINEERINGCOMPANY', 'ALVISSPEED25|ENGINE|PETROL'}"
3440,{'(410777)2009FD|ABSOLUTEMAGNITUDE|22.1'}
3442,{'(410777)2009FD|ABSOLUTEMAGNITUDE|22.1'}
3480,"{'UNITEDSTATES|LEADERNAME|BARACKOBAMA', 'BACONEXPLOSION|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|ETHNICGROUP|WHITEAMERICANS'}"
3482,"{'UNITEDSTATES|LEADERNAME|BARACKOBAMA', 'BACONEXPLOSION|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|ETHNICGROUP|WHITEAMERICANS'}"
3546,"{'109FELICITAS|EPOCH|2006-12-31', '109FELICITAS|ORBITALPERIOD|139705000.0', '109FELICITAS|MASS|7.5(KILOGRAMS)'}"
3548,"{'109FELICITAS|EPOCH|2006-12-31', '109FELICITAS|ORBITALPERIOD|139705000.0', '109FELICITAS|MASS|7.5(KILOGRAMS)'}"
3550,"{'109FELICITAS|EPOCH|2006-12-31', '109FELICITAS|ORBITALPERIOD|139705000.0', '109FELICITAS|MASS|7.5(KILOGRAMS)'}"
3560,"{'DENMARK|LEADERNAME|MARGRETHEIIOFDENMARK', 'ACHOTELBELLASKYCOPENHAGEN|LOCATION|DENMARK', 'MARRIOTTINTERNATIONAL|FOUNDATIONPLACE|WASHINGTON,D.C.', 'DENMARK|LANGUAGE|FAROESELANGUAGE', 'ACHOTELBELLASKYCOPENHAGEN|TENANT|MARRIOTTINTERNATIONAL'}"
3562,"{'DENMARK|LEADERNAME|MARGRETHEIIOFDENMARK', 'ACHOTELBELLASKYCOPENHAGEN|LOCATION|DENMARK', 'MARRIOTTINTERNATIONAL|FOUNDATIONPLACE|WASHINGTON,D.C.', 'DENMARK|LANGUAGE|FAROESELANGUAGE', 'ACHOTELBELLASKYCOPENHAGEN|TENANT|MARRIOTTINTERNATIONAL'}"
3564,"{'SOUTHAFRICA|ETHNICGROUP|COLOURED', 'SOUTHAFRICA|CAPITAL|CAPETOWN', 'SOUTHAFRICA|ETHNICGROUP|ASIANSOUTHAFRICANS', '11DIAGONALSTREET|LOCATION|SOUTHAFRICA'}"
3630,"{'14THNEWJERSEYVOLUNTEERINFANTRYMONUMENT|DISTRICT|MONOCACYNATIONALBATTLEFIELD', '14THNEWJERSEYVOLUNTEERINFANTRYMONUMENT|COUNTRY|UNITEDSTATES', '14THNEWJERSEYVOLUNTEERINFANTRYMONUMENT|STATE|MARYLAND', '14THNEWJERSEYVOLUNTEERINFANTRYMONUMENT|ESTABLISHED|1907-07-11', '14THNEWJERSEYVOLUNTEERINFANTRYMONUMENT|CATEGORY|HISTORICDISTRICTSINTHEUNITEDSTATES', 'MONOCACYNATIONALBATTLEFIELD|LOCATION|FREDERICKCOUNTY,MARYLAND'}"
3632,"{'14THNEWJERSEYVOLUNTEERINFANTRYMONUMENT|DISTRICT|MONOCACYNATIONALBATTLEFIELD', '14THNEWJERSEYVOLUNTEERINFANTRYMONUMENT|COUNTRY|UNITEDSTATES', '14THNEWJERSEYVOLUNTEERINFANTRYMONUMENT|STATE|MARYLAND', '14THNEWJERSEYVOLUNTEERINFANTRYMONUMENT|ESTABLISHED|1907-07-11', '14THNEWJERSEYVOLUNTEERINFANTRYMONUMENT|CATEGORY|HISTORICDISTRICTSINTHEUNITEDSTATES', 'MONOCACYNATIONALBATTLEFIELD|LOCATION|FREDERICKCOUNTY,MARYLAND'}"
3634,"{'14THNEWJERSEYVOLUNTEERINFANTRYMONUMENT|DISTRICT|MONOCACYNATIONALBATTLEFIELD', '14THNEWJERSEYVOLUNTEERINFANTRYMONUMENT|COUNTRY|UNITEDSTATES', '14THNEWJERSEYVOLUNTEERINFANTRYMONUMENT|STATE|MARYLAND', '14THNEWJERSEYVOLUNTEERINFANTRYMONUMENT|ESTABLISHED|1907-07-11', '14THNEWJERSEYVOLUNTEERINFANTRYMONUMENT|CATEGORY|HISTORICDISTRICTSINTHEUNITEDSTATES', 'MONOCACYNATIONALBATTLEFIELD|LOCATION|FREDERICKCOUNTY,MARYLAND'}"
3672,"{'ALVX-1|COUNTRYORIGIN|UNITEDSTATES', 'UNITEDSTATES|DEMONYM|AMERICANS', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'UNITEDSTATES|ANTHEM|THESTAR-SPANGLEDBANNER', 'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES'}"
3674,"{'ALVX-1|COUNTRYORIGIN|UNITEDSTATES', 'UNITEDSTATES|DEMONYM|AMERICANS', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'UNITEDSTATES|ANTHEM|THESTAR-SPANGLEDBANNER', 'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES'}"
3676,"{'ALVX-1|COUNTRYORIGIN|UNITEDSTATES', 'UNITEDSTATES|DEMONYM|AMERICANS', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.', 'UNITEDSTATES|ANTHEM|THESTAR-SPANGLEDBANNER', 'UNITEDSTATES|ETHNICGROUP|NATIVEAMERICANSINTHEUNITEDSTATES'}"
3724,"{'UNITEDSTATESAIRFORCE|TRANSPORTAIRCRAFT|LOCKHEEDC-130HERCULES', 'UNITEDSTATESAIRFORCE|BATTLES|OPERATIONENDURINGFREEDOM', 'ALASADAIRBASE|OPERATINGORGANISATION|UNITEDSTATESAIRFORCE', 'UNITEDSTATESAIRFORCE|ATTACKAIRCRAFT|LOCKHEEDAC-130', 'UNITEDSTATESAIRFORCE|BATTLES|INVASIONOFGRENADA'}"
3726,"{'UNITEDSTATESAIRFORCE|TRANSPORTAIRCRAFT|LOCKHEEDC-130HERCULES', 'UNITEDSTATESAIRFORCE|BATTLES|OPERATIONENDURINGFREEDOM', 'ALASADAIRBASE|OPERATINGORGANISATION|UNITEDSTATESAIRFORCE', 'UNITEDSTATESAIRFORCE|ATTACKAIRCRAFT|LOCKHEEDAC-130', 'UNITEDSTATESAIRFORCE|BATTLES|INVASIONOFGRENADA'}"
3740,{'AUDI|FOUNDEDBY|AUGUSTHORCH'}
3742,{'AUDI|FOUNDEDBY|AUGUSTHORCH'}
3744,{'AUDI|FOUNDEDBY|AUGUSTHORCH'}
3788,"{'ALFREDOZITARROSA|DEATHPLACE|URUGUAY', 'ALFREDOZITARROSA|BIRTHPLACE|MONTEVIDEO'}"
3896,"{'AUDIA1|MANUFACTURER|AUDI', 'AUDI|SUBSIDIARY|QUATTROGMBH'}"
3898,"{'AUDIA1|MANUFACTURER|AUDI', 'AUDI|SUBSIDIARY|QUATTROGMBH'}"
3900,"{'AUDIA1|MANUFACTURER|AUDI', 'AUDI|SUBSIDIARY|QUATTROGMBH'}"
3922,"{'ROMANIA|PATRONSAINT|ANDREWTHEAPOSTLE', 'ROMANIA|LEADERNAME|KLAUSIOHANNIS', 'ROMANIA|ANTHEM|DESTEAPTA-TE,ROMANE!', '1DECEMBRIE1918UNIVERSITY|COUNTRY|ROMANIA', 'ROMANIA|CAPITAL|BUCHAREST', 'ROMANIA|ETHNICGROUP|GERMANSOFROMANIA'}"
3924,"{'ROMANIA|PATRONSAINT|ANDREWTHEAPOSTLE', 'ROMANIA|LEADERNAME|KLAUSIOHANNIS', 'ROMANIA|ANTHEM|DESTEAPTA-TE,ROMANE!', '1DECEMBRIE1918UNIVERSITY|COUNTRY|ROMANIA', 'ROMANIA|CAPITAL|BUCHAREST', 'ROMANIA|ETHNICGROUP|GERMANSOFROMANIA'}"
3926,"{'ROMANIA|PATRONSAINT|ANDREWTHEAPOSTLE', 'ROMANIA|LEADERNAME|KLAUSIOHANNIS', 'ROMANIA|ANTHEM|DESTEAPTA-TE,ROMANE!', '1DECEMBRIE1918UNIVERSITY|COUNTRY|ROMANIA', 'ROMANIA|CAPITAL|BUCHAREST', 'ROMANIA|ETHNICGROUP|GERMANSOFROMANIA'}"
3978,"{'AIDS(JOURNAL)|ISSNNUMBER|0269-9370', 'AIDS(JOURNAL)|ACADEMICDISCIPLINE|HIV/AIDS', 'AIDS(JOURNAL)|ACADEMICDISCIPLINE|HIV'}"
4010,"{'OLYMPIQUELYONNAIS|GROUND|PARCOLYMPIQUELYONNAIS', 'ALEKSANDREGURULI|CLUB|FCKARPATYLVIV', 'FCKARPATYLVIV|MANAGER|OLEHLUZHNY', 'OLYMPIQUELYONNAIS|CHAIRMAN|JEAN-MICHELAULAS', 'ALEKSANDREGURULI|CLUB|OLYMPIQUELYONNAIS'}"
4012,"{'OLYMPIQUELYONNAIS|GROUND|PARCOLYMPIQUELYONNAIS', 'ALEKSANDREGURULI|CLUB|FCKARPATYLVIV', 'FCKARPATYLVIV|MANAGER|OLEHLUZHNY', 'OLYMPIQUELYONNAIS|CHAIRMAN|JEAN-MICHELAULAS', 'ALEKSANDREGURULI|CLUB|OLYMPIQUELYONNAIS'}"
4014,"{'OLYMPIQUELYONNAIS|GROUND|PARCOLYMPIQUELYONNAIS', 'ALEKSANDREGURULI|CLUB|FCKARPATYLVIV', 'FCKARPATYLVIV|MANAGER|OLEHLUZHNY', 'OLYMPIQUELYONNAIS|CHAIRMAN|JEAN-MICHELAULAS', 'ALEKSANDREGURULI|CLUB|OLYMPIQUELYONNAIS'}"
4032,"{'ANGOLA,INDIANA|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|DEMONYM|AMERICANS', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'ANGOLA,INDIANA|ISPARTOF|STEUBENCOUNTY,INDIANA'}"
4034,"{'ANGOLA,INDIANA|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|DEMONYM|AMERICANS', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'ANGOLA,INDIANA|ISPARTOF|STEUBENCOUNTY,INDIANA'}"
4336,{'CALIFORNIA|LANGUAGE|SPANISHLANGUAGE'}
4338,{'CALIFORNIA|LANGUAGE|SPANISHLANGUAGE'}
4340,"{'ALBERTJENNINGSFOUNTAIN|BATTLES|AMERICANCIVILWAR', 'ALBERTJENNINGSFOUNTAIN|BIRTHPLACE|STATENISLAND', 'AMERICANCIVILWAR|COMMANDER|ABRAHAMLINCOLN'}"
4342,"{'ALBERTJENNINGSFOUNTAIN|BATTLES|AMERICANCIVILWAR', 'ALBERTJENNINGSFOUNTAIN|BIRTHPLACE|STATENISLAND', 'AMERICANCIVILWAR|COMMANDER|ABRAHAMLINCOLN'}"
4344,"{'ALBERTJENNINGSFOUNTAIN|BATTLES|AMERICANCIVILWAR', 'ALBERTJENNINGSFOUNTAIN|BIRTHPLACE|STATENISLAND', 'AMERICANCIVILWAR|COMMANDER|ABRAHAMLINCOLN'}"
4368,{'WEYMOUTHSANDS|PRECEDEDBY|AGLASTONBURYROMANCE'}
4370,{'WEYMOUTHSANDS|PRECEDEDBY|AGLASTONBURYROMANCE'}
4372,{'WEYMOUTHSANDS|PRECEDEDBY|AGLASTONBURYROMANCE'}
4516,"{'ANTIOCH,CALIFORNIA|AREACODE|925'}"
4518,"{'ANTIOCH,CALIFORNIA|AREACODE|925'}"
4520,"{'ANTIOCH,CALIFORNIA|AREACODE|925'}"
4590,"{'CURITIBA|ISPARTOF|SOUTHREGION,BRAZIL'}"
4604,{'AUDIA1|RELATEDMEANOFTRANSPORTATION|SEATIBIZA'}
4606,{'AUDIA1|RELATEDMEANOFTRANSPORTATION|SEATIBIZA'}
4658,"{'1634:THEBAVARIANCRISIS|PRECEDEDBY|THEGRANTVILLEGAZETTES', '1634:THEBAVARIANCRISIS|AUTHOR|ERICFLINT'}"
4660,"{'1634:THEBAVARIANCRISIS|PRECEDEDBY|THEGRANTVILLEGAZETTES', '1634:THEBAVARIANCRISIS|AUTHOR|ERICFLINT'}"
4662,"{'1634:THEBAVARIANCRISIS|PRECEDEDBY|THEGRANTVILLEGAZETTES', '1634:THEBAVARIANCRISIS|AUTHOR|ERICFLINT'}"
4692,"{'ALLENFORREST|BIRTHPLACE|FORTCAMPBELL,KY,RAISEDINDOTHAN,AL', 'ALLENFORREST|BIRTHYEAR|1981', 'ALLENFORREST|GENRE|HIPHOPMUSIC', 'ALLENFORREST|BACKGROUND|SOLOSINGER'}"
4694,"{'ALLENFORREST|BIRTHPLACE|FORTCAMPBELL,KY,RAISEDINDOTHAN,AL', 'ALLENFORREST|BIRTHYEAR|1981', 'ALLENFORREST|GENRE|HIPHOPMUSIC', 'ALLENFORREST|BACKGROUND|SOLOSINGER'}"
4740,"{'UNITEDKINGDOM|LEADERNAME|ELIZABETHII', 'ASTONMARTINV8|ASSEMBLY|UNITEDKINGDOM'}"
4742,"{'UNITEDKINGDOM|LEADERNAME|ELIZABETHII', 'ASTONMARTINV8|ASSEMBLY|UNITEDKINGDOM'}"
4744,"{'UNITEDKINGDOM|LEADERNAME|ELIZABETHII', 'ASTONMARTINV8|ASSEMBLY|UNITEDKINGDOM'}"
4762,"{'ALANBEAN|WASACREWMEMBEROF|APOLLO12', 'APOLLO12|OPERATOR|NASA', 'ALANBEAN|BIRTHNAME|ALANLAVERNBEAN', 'APOLLO12|BACKUPPILOT|ALFREDWORDEN', 'ALANBEAN|DATEOFRETIREMENT|JUNE1981', 'APOLLO12|COMMANDER|DAVIDSCOTT'}"
4764,"{'ALANBEAN|WASACREWMEMBEROF|APOLLO12', 'APOLLO12|OPERATOR|NASA', 'ALANBEAN|BIRTHNAME|ALANLAVERNBEAN', 'APOLLO12|BACKUPPILOT|ALFREDWORDEN', 'ALANBEAN|DATEOFRETIREMENT|JUNE1981', 'APOLLO12|COMMANDER|DAVIDSCOTT'}"
4892,"{'MADISONCOUNTY,INDIANA|COUNTRY|UNITEDSTATES', 'ALEXANDRIA,INDIANA|ISPARTOF|MONROETOWNSHIP,MADISONCOUNTY,INDIANA', 'MONROETOWNSHIP,MADISONCOUNTY,INDIANA|ISPARTOF|MADISONCOUNTY,INDIANA'}"
4894,"{'MADISONCOUNTY,INDIANA|COUNTRY|UNITEDSTATES', 'ALEXANDRIA,INDIANA|ISPARTOF|MONROETOWNSHIP,MADISONCOUNTY,INDIANA', 'MONROETOWNSHIP,MADISONCOUNTY,INDIANA|ISPARTOF|MADISONCOUNTY,INDIANA'}"
4896,"{'MADISONCOUNTY,INDIANA|COUNTRY|UNITEDSTATES', 'ALEXANDRIA,INDIANA|ISPARTOF|MONROETOWNSHIP,MADISONCOUNTY,INDIANA', 'MONROETOWNSHIP,MADISONCOUNTY,INDIANA|ISPARTOF|MADISONCOUNTY,INDIANA'}"
4986,"{'1634:THERAMREBELLION|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.'}"
4988,"{'1634:THERAMREBELLION|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.'}"
4990,"{'1634:THERAMREBELLION|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.'}"
5126,"{'ALBERTB.WHITE|BIRTHPLACE|CLEVELAND', 'ALBERTB.WHITE|SUCCESSOR|WILLIAMM.O.DAWSON', 'WILLIAMM.O.DAWSON|DEATHPLACE|CHARLESTON,WESTVIRGINIA', 'CLEVELAND|COUNTRY|UNITEDSTATES'}"
5128,"{'ALBERTB.WHITE|BIRTHPLACE|CLEVELAND', 'ALBERTB.WHITE|SUCCESSOR|WILLIAMM.O.DAWSON', 'WILLIAMM.O.DAWSON|DEATHPLACE|CHARLESTON,WESTVIRGINIA', 'CLEVELAND|COUNTRY|UNITEDSTATES'}"
5130,"{'ALBERTB.WHITE|BIRTHPLACE|CLEVELAND', 'ALBERTB.WHITE|SUCCESSOR|WILLIAMM.O.DAWSON', 'WILLIAMM.O.DAWSON|DEATHPLACE|CHARLESTON,WESTVIRGINIA', 'CLEVELAND|COUNTRY|UNITEDSTATES'}"
5146,"{'AIDALUNA|TOPSPEED|40.744', 'AIDALUNA|LENGTH|252000.0(MILLIMETRES)'}"
5148,"{'AIDALUNA|TOPSPEED|40.744', 'AIDALUNA|LENGTH|252000.0(MILLIMETRES)'}"
5150,"{'AIDALUNA|TOPSPEED|40.744', 'AIDALUNA|LENGTH|252000.0(MILLIMETRES)'}"
5172,"{'ANDRA(SINGER)|GENRE|RHYTHMANDBLUES', 'RHYTHMANDBLUES|STYLISTICORIGIN|BLUES'}"
5174,"{'ANDRA(SINGER)|GENRE|RHYTHMANDBLUES', 'RHYTHMANDBLUES|STYLISTICORIGIN|BLUES'}"
5176,"{'ANDRA(SINGER)|GENRE|RHYTHMANDBLUES', 'RHYTHMANDBLUES|STYLISTICORIGIN|BLUES'}"
5200,"{'BATAGOR|DISHVARIATION|SIOMAY', 'BATAGOR|INGREDIENT|PEANUTSAUCE'}"
5202,"{'BATAGOR|DISHVARIATION|SIOMAY', 'BATAGOR|INGREDIENT|PEANUTSAUCE'}"
5204,"{'BATAGOR|DISHVARIATION|SIOMAY', 'BATAGOR|INGREDIENT|PEANUTSAUCE'}"
5248,"{'MADISONCOUNTY,INDIANA|COUNTYSEAT|ANDERSON,INDIANA'}"
5250,"{'MADISONCOUNTY,INDIANA|COUNTYSEAT|ANDERSON,INDIANA'}"
5276,"{'MALAYSIA|ETHNICGROUP|MALAYSIANMALAY', 'SUMATRA|ETHNICGROUP|BATAK', 'ASAMPEDAS|REGION|SUMATRA', 'ASAMPEDAS|COUNTRY|MALAYSIA'}"
5278,"{'MALAYSIA|ETHNICGROUP|MALAYSIANMALAY', 'SUMATRA|ETHNICGROUP|BATAK', 'ASAMPEDAS|REGION|SUMATRA', 'ASAMPEDAS|COUNTRY|MALAYSIA'}"
5280,"{'MALAYSIA|ETHNICGROUP|MALAYSIANMALAY', 'SUMATRA|ETHNICGROUP|BATAK', 'ASAMPEDAS|REGION|SUMATRA', 'ASAMPEDAS|COUNTRY|MALAYSIA'}"
5378,"{'ANTWERPINTERNATIONALAIRPORT|CITYSERVED|ANTWERP', 'ANTWERPINTERNATIONALAIRPORT|OWNER|FLEMISHREGION', 'ANTWERPINTERNATIONALAIRPORT|OPERATINGORGANISATION|FLEMISHDEPARTMENTOFMOBILITYANDPUBLICWORKS', 'ANTWERPINTERNATIONALAIRPORT|ELEVATIONABOVETHESEALEVEL(INMETRES)|12.0'}"
